period,biomass_stock,dom_stock,eco_stock,net_emission
1,7.338672072959521,0.05998198375016324,1.4991570602361082,205.16663027087714
2,7.538954214506568,1.199030934792515,2.530700475636175,37.30342251489437
3,7.188754085311784,1.7538204399849064,2.97187504817676,12.30785813916189
4,6.269126134760581,1.9874953220321314,2.9637921261235647,-0.722729445348774
5,5.0478079155438405,2.0185365882254733,2.6461053532279677,-8.82432957131863
6,3.768502568958217,1.9383303178865707,2.1944862843541038,-13.181199652783423
7,2.6478520221330424,1.79633576271086,1.740930327247049,-14.768242295829124
8,1.7281008416250798,1.6371864409155925,1.3290511278706174,-15.99144452115689
9,1.018810491635638,1.472461292025735,0.9707423957143418,-15.689117002520467
10,0.4784371532700801,1.3233337630420698,0.6679320068083281,-15.843321723431913
11,0.0810043210800303,1.1832985408363674,0.41552543502769324,-15.438201656572964
12,-0.20744548434723603,1.060444161218407,0.2149149801568081,-15.56835863298347
13,-0.40904687885718527,0.9416217935456026,0.05766784273197269,-15.808121920955035
14,-0.5573015075696124,0.8313288783955541,-0.059579664647695714,-16.27155027021146
15,-0.6586651000818204,0.725254656966758,-0.14344831613732467,-15.869349470746346
16,-0.7083535489661118,0.6211470707430669,-0.19896048991754975,-14.803138492029518
17,-0.7072847206198276,0.509842380353255,-0.2359455642423959,-14.536796803820238
18,-0.6691366942598742,0.40065398520280654,-0.25537210702085,-13.467350275098605
19,-0.6071489395596198,0.30532099187740397,-0.2550073681711961,-11.827809883605898
20,-0.4994604960655613,0.20969688682857313,-0.24080722090740417,-8.258572262148881
