period,biomass_stock,dom_stock,eco_stock,net_emission
1,424388305.348477,851606677.0214866,1265155871.0206904,-2780164.175730603
2,457256741.85719454,851632290.9541982,1298800444.0122259,-3817260.5648111175
3,491146184.18035835,857337188.4309232,1339424188.4543285,-4287083.57993024
4,523401221.0947534,866248883.5800477,1381662883.0907645,-4256099.564551374
5,551793944.8014923,876799257.9586463,1421371212.0987396,-3880527.312091902
6,574759523.3138503,888127804.0627862,1456400800.7413008,-3369027.259504278
7,592375908.1701748,899723022.4252944,1486375429.4852333,-2871481.150808157
8,605294669.2161577,911390410.1296483,1511547605.6963289,-2412289.835641195
9,614420090.1444563,922941111.0458949,1532505463.7503984,-2033822.8608875417
10,620529730.1117605,934318037.8844652,1549974480.5247521,-1711597.761752422
11,624342318.389525,945387728.7931724,1564643365.37335,-1447357.8477436914
12,626401366.576616,956089832.0176048,1577143178.4842682,-1222027.9873043215
13,627118939.0382167,966265688.4223397,1587861838.4296238,-1028848.3131630622
14,626782947.8296059,975804350.4561443,1597102568.7295003,-861438.7426825106
15,625728703.6397294,984594242.751483,1605076567.285146,-724734.0181298215
16,624320261.4938887,992559520.4469993,1611992908.02505,-617450.637727214
17,622821715.8004222,999649549.9797859,1618010330.8343039,-527693.0931569183
18,621366363.2485914,1005950377.3220791,1623332091.7776163,-456626.815923971
19,620017642.7864048,1011624673.4637547,1628187827.4739347,-402617.8642589232
20,619043183.4514421,1016571911.363656,1632654192.8359678,-369367.376998779
